"state","county","precinct","office","candidate","party","votes"
"Alabama","DeKalb","ABSENTEE","PUBLIC SERVICE COMMISSION, PLACE 2","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","STATE BOARD OF EDUCATION MEMBER DISTRICT 6","Cynthia McCarty","Republican",163
"Alabama","DeKalb","ABSENTEE","STATE BOARD OF EDUCATION MEMBER DISTRICT 6","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","STATE BOARD OF EDUCATION MEMBER DISTRICT 8","Jessica Fortune Barker","Democratic",106
"Alabama","DeKalb","ABSENTEE","STATE BOARD OF EDUCATION MEMBER DISTRICT 8","Wayne Reynolds","Republican",334
"Alabama","DeKalb","ABSENTEE","STATE BOARD OF EDUCATION MEMBER DISTRICT 8","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 1","Shaunathan Bell","Republican",517
"Alabama","DeKalb","ABSENTEE","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 1","Write-In","No party",6
"Alabama","DeKalb","ABSENTEE","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 2","Andrew Hairston","Republican",531
"Alabama","DeKalb","ABSENTEE","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 2","Write-In","No party",4
"Alabama","DeKalb","ABSENTEE","STATE SENATOR, DISTRICT 8","Steve Livingston","Republican",425
"Alabama","DeKalb","ABSENTEE","STATE SENATOR, DISTRICT 8","Write-In","No party",1
"Alabama","DeKalb","ABSENTEE","STATE SENATOR, DISTRICT 9","Clay Scofield","Republican",78
"Alabama","DeKalb","ABSENTEE","STATE SENATOR, DISTRICT 9","Write-In","No party",2
"Alabama","DeKalb","ABSENTEE","STATE SENATOR, DISTRICT 10","Andrew Jones","Republican",16
"Alabama","DeKalb","ABSENTEE","STATE SENATOR, DISTRICT 10","Craig Ford","Independent",4
"Alabama","DeKalb","ABSENTEE","STATE SENATOR, DISTRICT 10","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","STATE REPRESENTATIVE, DISTRICT 23","Tommy Hanes","Republican",6
"Alabama","DeKalb","ABSENTEE","STATE REPRESENTATIVE, DISTRICT 23","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","STATE REPRESENTATIVE, DISTRICT 24","Nathaniel Ledbetter","Republican",413
"Alabama","DeKalb","ABSENTEE","STATE REPRESENTATIVE, DISTRICT 24","Write-In","No party",3
"Alabama","DeKalb","ABSENTEE","STATE REPRESENTATIVE, DISTRICT 26","Kerry Rich","Republican",40
"Alabama","DeKalb","ABSENTEE","STATE REPRESENTATIVE, DISTRICT 26","Write-In","No party",1
"Alabama","DeKalb","ABSENTEE","STATE REPRESENTATIVE, DISTRICT 27","Bill Jones","Democratic",16
"Alabama","DeKalb","ABSENTEE","STATE REPRESENTATIVE, DISTRICT 27","Wes Kitchens","Republican",19
"Alabama","DeKalb","ABSENTEE","STATE REPRESENTATIVE, DISTRICT 27","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","STATE REPRESENTATIVE, DISTRICT 29","Jared Millican","Democratic",4
"Alabama","DeKalb","ABSENTEE","STATE REPRESENTATIVE, DISTRICT 29","Becky Nordgren","Republican",16
"Alabama","DeKalb","ABSENTEE","STATE REPRESENTATIVE, DISTRICT 29","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","STATE REPRESENTATIVE, DISTRICT 39","Ginny Shaver","Republican",27
"Alabama","DeKalb","ABSENTEE","STATE REPRESENTATIVE, DISTRICT 39","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)","Yes - Statewide Amendment No. 1","No party",488
"Alabama","DeKalb","ABSENTEE","PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)","No - Statewide Amendment No. 1","No party",87
"Alabama","DeKalb","ABSENTEE","PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)","Yes - Statewide Amendment No. 2","No party",473
"Alabama","DeKalb","ABSENTEE","PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)","No - Statewide Amendment No. 2","No party",108
"Alabama","DeKalb","ABSENTEE","PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)","Yes - Statewide Amendment No. 3","No party",326
"Alabama","DeKalb","ABSENTEE","PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)","No - Statewide Amendment No. 3","No party",141
"Alabama","DeKalb","ABSENTEE","PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)","Yes -Statewide Amendment No. 4","No party",407
"Alabama","DeKalb","ABSENTEE","PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)","No - Statewide Amendment No. 4","No party",109
"Alabama","DeKalb","ABSENTEE","CIRCUIT CLERK, DeKALB COUNTY","Pam Bailey Simpson","Democratic",274
"Alabama","DeKalb","ABSENTEE","CIRCUIT CLERK, DeKALB COUNTY","Todd Greeson","Republican",409
"Alabama","DeKalb","ABSENTEE","CIRCUIT CLERK, DeKALB COUNTY","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","DeKALB COUNTY JUDGE OF PROBATE","Ronnie Osborn","Republican",540
"Alabama","DeKalb","ABSENTEE","DeKALB COUNTY JUDGE OF PROBATE","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","PRESIDENT, DeKALB COUNTY COMMISSION","Ben Johnston","Democratic",164
"Alabama","DeKalb","ABSENTEE","PRESIDENT, DeKALB COUNTY COMMISSION","Ricky Harcrow","Republican",508
"Alabama","DeKalb","ABSENTEE","PRESIDENT, DeKALB COUNTY COMMISSION","Write-In","No party",2
"Alabama","DeKalb","ABSENTEE","MEMBER, DeKALB COUNTY COMMISSION, DISTRICT NO. 3","Chris Kuykendall","Republican",126
"Alabama","DeKalb","ABSENTEE","MEMBER, DeKALB COUNTY COMMISSION, DISTRICT NO. 3","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","MEMBER, DeKALB COUNTY COMMISSION, DISTRICT NO. 4","Dewitt Jackson","Democratic",93
"Alabama","DeKalb","ABSENTEE","MEMBER, DeKALB COUNTY COMMISSION, DISTRICT NO. 4","Lester Black","Republican",96
"Alabama","DeKalb","ABSENTEE","MEMBER, DeKALB COUNTY COMMISSION, DISTRICT NO. 4","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","DeKALB COUNTY SHERIFF","John Baker","Democratic",151
"Alabama","DeKalb","ABSENTEE","DeKALB COUNTY SHERIFF","Nick Welden","Republican",533
"Alabama","DeKalb","ABSENTEE","DeKALB COUNTY SHERIFF","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","MEMBER, DeKALB COUNTY BOARD OF EDUCATION, DISTRICT NO. 3","Carol Hiett","Republican",83
"Alabama","DeKalb","ABSENTEE","MEMBER, DeKALB COUNTY BOARD OF EDUCATION, DISTRICT NO. 3","Write-In","No party",0
"Alabama","DeKalb","ABSENTEE","MEMBER, DeKALB COUNTY BOARD OF EDUCATION, DISTRICT NO. 4","Monty Darwin","Republican",85
"Alabama","DeKalb","ABSENTEE","MEMBER, DeKALB COUNTY BOARD OF EDUCATION, DISTRICT NO. 4","Write-In","No party",0
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","STRAIGHT PARTY","Alabama Democratic Party","Democratic",23
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","STRAIGHT PARTY","Alabama Republican Party","Republican",185
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Lee Auman","Democratic",54
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Robert Aderholt","Republican",292
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Write-In","No party",1
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","GOVERNOR","Walt Maddox","Democratic",57
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","GOVERNOR","Kay Ivey","Republican",291
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","GOVERNOR","Write-In","No party",0
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","LIEUTENANT GOVERNOR","Will Boyd","Democratic",52
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","LIEUTENANT GOVERNOR","Will Ainsworth","Republican",293
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","LIEUTENANT GOVERNOR","Write-In","No party",0
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","ATTORNEY GENERAL","Joseph Siegelman","Democratic",56
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","ATTORNEY GENERAL","Steve Marshall","Republican",287
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","ATTORNEY GENERAL","Write-In","No party",1
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","CHIEF JUSTICE OF THE SUPREME COURT","Bob Vance, Jr.","Democratic",65
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","CHIEF JUSTICE OF THE SUPREME COURT","Tom Parker","Republican",274
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","CHIEF JUSTICE OF THE SUPREME COURT","Write-In","No party",0
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Sarah Hicks Stewart","Republican",291
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Write-In","No party",7
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Tommy Bryan","Republican",292
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Write-In","No party",6
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Will Sellers","Republican",293
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 3","Write-In","No party",6
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Donna Wesson Smalley","Democratic",55
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Jay Mitchell","Republican",281
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 4","Write-In","No party",1
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","STATE TREASURER","John McMillan","Republican",294
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","STATE TREASURER","Write-In","No party",5
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Rick Pate","Republican",291
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","COMMISSIONER OF AGRICULTURE AND INDUSTRIES","Write-In","No party",5
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","SECRETARY OF STATE","Heather Milam","Democratic",52
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","SECRETARY OF STATE","John H. Merrill","Republican",286
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","SECRETARY OF STATE","Write-In","No party",0
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","STATE AUDITOR","Miranda Karrine Joseph","Democratic",52
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","STATE AUDITOR","Jim Zeigler","Republican",284
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","STATE AUDITOR","Write-In","No party",1
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Christy Olinger Edwards","Republican",288
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","COURT OF CIVIL APPEALS JUDGE, PLACE 1","Write-In","No party",7
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Chad Hanson","Republican",291
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","COURT OF CIVIL APPEALS JUDGE, PLACE 2","Write-In","No party",6
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Terry A. Moore","Republican",293
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","COURT OF CIVIL APPEALS JUDGE, PLACE 3","Write-In","No party",5
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Richard Minor","Republican",293
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","COURT OF CRIMINAL APPEALS JUDGE, PLACE 1","Write-In","No party",6
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","COURT OF CRIMINAL APPEALS JUDGE, PLACE 2","Chris McCool","Republican",293
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","COURT OF CRIMINAL APPEALS JUDGE, PLACE 2","Write-In","No party",5
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","COURT OF CRIMINAL APPEALS JUDGE, PLACE 3","Bill Cole","Republican",293
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","COURT OF CRIMINAL APPEALS JUDGE, PLACE 3","Write-In","No party",5
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","PUBLIC SERVICE COMMISSION, PLACE 1","Cara Y. McClure","Democratic",52
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","PUBLIC SERVICE COMMISSION, PLACE 1","Jeremy H. Oden","Republican",286
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","PUBLIC SERVICE COMMISSION, PLACE 1","Write-In","No party",0
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","PUBLIC SERVICE COMMISSION, PLACE 2","Kari Powell","Democratic",51
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","PUBLIC SERVICE COMMISSION, PLACE 2","Chris ""Chip"" Beeker Jr.","Republican",287
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","PUBLIC SERVICE COMMISSION, PLACE 2","Write-In","No party",0
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","STATE BOARD OF EDUCATION MEMBER DISTRICT 6","Cynthia McCarty","Republican",289
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","STATE BOARD OF EDUCATION MEMBER DISTRICT 6","Write-In","No party",7
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 1","Shaunathan Bell","Republican",301
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 1","Write-In","No party",9
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 2","Andrew Hairston","Republican",309
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","CIRCUIT COURT JUDGE, 9TH JUDICIAL CIRCUIT, PLACE 2","Write-In","No party",7
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","STATE SENATOR, DISTRICT 8","Steve Livingston","Republican",302
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","STATE SENATOR, DISTRICT 8","Write-In","No party",6
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","STATE REPRESENTATIVE, DISTRICT 24","Nathaniel Ledbetter","Republican",302
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","STATE REPRESENTATIVE, DISTRICT 24","Write-In","No party",7
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)","Yes - Statewide Amendment No. 1","No party",283
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1)","No - Statewide Amendment No. 1","No party",49
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)","Yes - Statewide Amendment No. 2","No party",253
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2)","No - Statewide Amendment No. 2","No party",72
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)","Yes - Statewide Amendment No. 3","No party",184
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3)","No - Statewide Amendment No. 3","No party",98
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)","Yes -Statewide Amendment No. 4","No party",240
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4)","No - Statewide Amendment No. 4","No party",69
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","CIRCUIT CLERK, DeKALB COUNTY","Pam Bailey Simpson","Democratic",99
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","CIRCUIT CLERK, DeKALB COUNTY","Todd Greeson","Republican",249
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","CIRCUIT CLERK, DeKALB COUNTY","Write-In","No party",0
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","DeKALB COUNTY JUDGE OF PROBATE","Ronnie Osborn","Republican",308
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","DeKALB COUNTY JUDGE OF PROBATE","Write-In","No party",6
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","PRESIDENT, DeKALB COUNTY COMMISSION","Ben Johnston","Democratic",64
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","PRESIDENT, DeKALB COUNTY COMMISSION","Ricky Harcrow","Republican",283
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","PRESIDENT, DeKALB COUNTY COMMISSION","Write-In","No party",0
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","MEMBER, DeKALB COUNTY COMMISSION, DISTRICT NO. 3","Chris Kuykendall","Republican",294
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","MEMBER, DeKALB COUNTY COMMISSION, DISTRICT NO. 3","Write-In","No party",7
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","DeKALB COUNTY SHERIFF","John Baker","Democratic",45
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","DeKALB COUNTY SHERIFF","Nick Welden","Republican",304
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","DeKALB COUNTY SHERIFF","Write-In","No party",0
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","MEMBER, DeKALB COUNTY BOARD OF EDUCATION, DISTRICT NO. 3","Carol Hiett","Republican",207
"Alabama","DeKalb","ADAMSBURG FIRE DEPT","MEMBER, DeKALB COUNTY BOARD OF EDUCATION, DISTRICT NO. 3","Write-In","No party",4
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","STRAIGHT PARTY","Alabama Democratic Party","Democratic",8
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","STRAIGHT PARTY","Alabama Republican Party","Republican",27
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Lee Auman","Democratic",12
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Robert Aderholt","Republican",61
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT","Write-In","No party",0
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","GOVERNOR","Walt Maddox","Democratic",19
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","GOVERNOR","Kay Ivey","Republican",55
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","GOVERNOR","Write-In","No party",0
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","LIEUTENANT GOVERNOR","Will Boyd","Democratic",14
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","LIEUTENANT GOVERNOR","Will Ainsworth","Republican",60
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","LIEUTENANT GOVERNOR","Write-In","No party",0
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","ATTORNEY GENERAL","Joseph Siegelman","Democratic",13
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","ATTORNEY GENERAL","Steve Marshall","Republican",61
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","ATTORNEY GENERAL","Write-In","No party",0
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","CHIEF JUSTICE OF THE SUPREME COURT","Bob Vance, Jr.","Democratic",15
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","CHIEF JUSTICE OF THE SUPREME COURT","Tom Parker","Republican",59
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","CHIEF JUSTICE OF THE SUPREME COURT","Write-In","No party",0
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Sarah Hicks Stewart","Republican",53
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1","Write-In","No party",0
"Alabama","DeKalb","ANTIOCH - BARRY'S BBQ","ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2","Tommy Bryan","Republican",53
